image_name,min_x,min_y,max_x,max_y
44.7535277_-1.1056275.png,227,215,284,268
42.7225054_2.9272699.png,217,211,293,272
43.7520577_-1.3302114.png,214,207,297,276
43.7071276_1.4957185.png,211,191,300,292
43.6941791_1.4290617.png,228,206,283,277
42.6984263_3.0053748.png,214,217,297,266
44.7499363_-1.0916907.png,208,191,303,292
44.7714903_-1.1361754.png,225,207,286,276
42.6781242_2.7871195.png,214,218,297,265
43.5633596_1.2621879.png,208,192,303,291
43.5748543_1.3237127.png,213,186,298,297
43.5656696_1.5087488.png,224,200,287,283
44.7722257_-1.1211534.png,209,205,302,278
43.2330095_0.1045044.png,238,224,273,259
43.7025749_1.5729422.png,208,217,303,266
43.5802357_1.2953792.png,201,207,310,276
43.732417_1.4783142.png,195,186,316,297
43.6827986_1.5330028.png,202,217,309,266
42.6773151_2.9522316.png,232,210,279,273
44.7553196_-1.0785862.png,208,199,303,284
43.4556467_-1.5466307.png,227,192,283,291
43.2324531_0.1027079.png,232,200,279,283
44.7715107_-1.1436935.png,222,198,289,285
43.5313179_1.3327123.png,207,201,304,282
43.5859897_1.5695434.png,209,198,302,285
43.7321085_1.3650562.png,207,196,304,287
42.7439911_2.9173019.png,196,208,315,275
42.7389498_2.8973457.png,216,220,295,263
43.9090104_2.1201327.png,229,202,282,281
43.5983425_1.6067045.png,193,199,318,284
43.7778101_1.3581628.png,204,193,307,290
42.7749845_2.8380611.png,229,202,282,281
43.4869754_-1.542998.png,229,204,282,279
43.7334476_-1.0774344.png,234,202,277,281
42.6987214_2.9929382.png,206,221,305,262
44.7646524_-1.1240268.png,231,199,281,284
42.6974793_2.7782061.png,207,214,304,269
43.5583336_1.5245632.png,221,207,290,276
43.5569316_1.3523327.png,221,195,290,288
43.5840503_1.3819461.png,223,190,288,293
43.6940428_1.5120782.png,223,212,288,271
43.5835915_1.3436387.png,216,202,295,280
43.5653468_1.292894.png,216,207,295,276
43.5985038_1.6004973.png,206,207,305,276
42.6913744_2.9282369.png,208,195,303,288
42.6986566_2.7777075.png,166,223,345,260
42.6923387_2.9295326.png,227,203,284,280
43.553382_1.5467439.png,214,206,297,277
44.7450784_-1.0802908.png,205,188,306,295
42.6797746_2.7468527.png,235,203,276,280
43.6330125_1.4444246.png,217,214,294,269
43.2065585_0.0946164.png,204,193,307,290
43.5766806_1.3318262.png,212,200,299,283
43.5723469_1.3021214.png,193,191,318,292
42.6742608_2.945899.png,220,217,291,266
42.6948936_2.777773.png,225,200,285,283
43.5684316_1.2785857.png,215,203,296,280
43.5925544_1.4722329.png,222,211,289,272
